"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-01","2024","01","01","","-0.6","","-3.1","","-1.9","","19.9","","0.0","","","","","","0.0","","","","31","","39",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-02","2024","01","02","","1.5","","-1.5","","0.0","","18.0","","0.0","","","","","","0.0","","","","24","","50",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-03","2024","01","03","","3.1","","0.8","","2.0","","16.0","","0.0","","","","","","0.0","","","","23","","42",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-04","2024","01","04","","1.8","","-5.8","","-2.0","","20.0","","0.0","","","","","","0.0","","","","31","","58",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-05","2024","01","05","","0.6","","-1.9","","-0.7","","18.7","","0.0","","","","","","0.0","","","","22","","45",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-06","2024","01","06","","1.9","","-2.7","","-0.4","","18.4","","0.0","","","","","","2.1","","","","5","","68",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-07","2024","01","07","","1.1","","-3.9","","-1.4","","19.4","","0.0","","","","","","0.0","","","","5","","46",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-08","2024","01","08","","3.5","","0.7","","2.1","","15.9","","0.0","","","","","","0.0","","","","28","","35",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-09","2024","01","09","","6.4","","0.6","","3.5","","14.5","","0.0","","","","","","24.8","","","","6","","71",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-10","2024","01","10","","6.3","","0.9","","3.6","","14.4","","0.0","","","","","","0.0","","","","27","","71",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-11","2024","01","11","","2.7","","0.3","","1.5","","16.5","","0.0","","","","","","2.2","","","","29","","39",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-12","2024","01","12","","6.1","","0.0","","3.1","","14.9","","0.0","","","","","","9.7","","","","6","","87",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-13","2024","01","13","","6.7","","-3.0","","1.9","","16.1","","0.0","","","","","","3.0","","","","24","","78",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-14","2024","01","14","","-2.2","","-10.9","","-6.6","","24.6","","0.0","","","","","","0.0","","","","24","","72",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-15","2024","01","15","","-7.1","","-12.0","","-9.6","","27.6","","0.0","","","","","","0.0","","","","24","","55",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-16","2024","01","16","","-6.4","","-11.1","","-8.8","","26.8","","0.0","","","","","","0.0","","","","28","","42",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-17","2024","01","17","","-6.8","","-13.7","","-10.3","","28.3","","0.0","","","","","","0.0","","","","24","","59",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-18","2024","01","18","","","M","","M","","M","","M","","M","","","","","","M","","","24","","52",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-19","2024","01","19","","-4.7","","-13.7","","-9.2","","27.2","","0.0","","","","","","0.0","","","","4","","50",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-20","2024","01","20","","-6.8","","-14.2","","-10.5","","28.5","","0.0","","","","","","0.0","","","","31","","55",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-21","2024","01","21","","-1.1","","-10.4","","-5.8","","23.8","","0.0","","","","","","0.0","","","","24","","55",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-22","2024","01","22","","-0.1","","-5.1","","-2.6","","20.6","","0.0","","","","","","0.0","","","","20","","54",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-23","2024","01","23","","2.1","","-0.3","","0.9","","17.1","","0.0","","","","","","5.8","","","","7","","37",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-24","2024","01","24","","2.2","","0.9","","1.6","","16.4","","0.0","","","","","","6.2","","","","5","","46",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-25","2024","01","25","","4.1","","1.5","","2.8","","15.2","","0.0","","","","","","0.0","","","","5","","54",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-26","2024","01","26","","6.6","","1.8","","4.2","","13.8","","0.0","","","","","","17.7","","","","5","","67",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-27","2024","01","27","","3.1","","1.5","","2.3","","15.7","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2024-01-28","2024","01","28","","3.5","","1.6","","2.6","","15.4","","0.0","","","","","","0.0","","","","4","","55",""
