"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-01","2021","01","01","","2.4","","-2.8","","-0.2","","18.2","","0.0","","","","","","6.3","","","","8","","48",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-02","2021","01","02","","2.2","","-1.0","","0.6","","17.4","","0.0","","","","","","11.8","","","","6","","37",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-03","2021","01","03","","2.3","","0.3","","1.3","","16.7","","0.0","","","","","","1.2","","","","8","","37",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-04","2021","01","04","","1.3","","0.1","","0.7","","17.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-05","2021","01","05","","1.7","","0.3","","1.0","","17.0","","0.0","","","","","","0.8","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-06","2021","01","06","","2.4","","-0.1","","1.2","","16.8","","0.0","","","","","","0.0","","","","32","","39",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-07","2021","01","07","","1.0","","-4.1","","-1.6","","19.6","","0.0","","","","","","0.0","","","","33","","37",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-08","2021","01","08","","-1.0","","-7.8","","-4.4","","22.4","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-09","2021","01","09","","4.6","","-2.2","","1.2","","16.8","","0.0","","","","","","0.0","","","","32","","37",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-10","2021","01","10","","2.4","","-2.4","","0.0","","18.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-11","2021","01","11","","1.2","","-3.2","","-1.0","","19.0","","0.0","","","","","","0.0","","","","26","","45",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-12","2021","01","12","","0.1","","-1.2","","-0.6","","18.6","","0.0","","","","","","0.0","","","","24","","39",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-13","2021","01","13","","3.6","","-0.8","","1.4","","16.6","","0.0","","","","","","0.0","","","","21","","42",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-14","2021","01","14","","4.9","","0.4","","2.7","","15.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-15","2021","01","15","","5.5","","2.5","","4.0","","14.0","","0.0","","","","","","2.3","","","","8","","52",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-16","2021","01","16","","5.5","","-0.3","","2.6","","15.4","","0.0","","","","","","0.0","","","","26","","50",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-17","2021","01","17","","5.7","","-0.6","","2.6","","15.4","","0.0","","","","","","0.0","","","","30","","42",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-18","2021","01","18","","1.4","","-3.3","","-1.0","","19.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-19","2021","01","19","","2.3","","-2.5","","-0.1","","18.1","","0.0","","","","","","0.0","","","","28","","55",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-20","2021","01","20","","-0.5","","-6.6","","-3.6","","21.6","","0.0","","","","","","0.0","","","","20","","58",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-21","2021","01","21","","3.8","","-0.6","","1.6","","16.4","","0.0","","","","","","0.0","","","","22","","58",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-22","2021","01","22","","2.6","","-6.3","","-1.9","","19.9","","0.0","","","","","","0.0","","","","27","","54",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-23","2021","01","23","","-3.9","","-10.8","","-7.4","","25.4","","0.0","","","","","","0.0","","","","27","","45",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-24","2021","01","24","","-1.4","","-6.9","","-4.2","","22.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-25","2021","01","25","","1.4","","-2.6","","-0.6","","18.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-26","2021","01","26","","1.5","","-3.7","","-1.1","","19.1","","0.0","","","","","","2.7","","","","6","","74",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-27","2021","01","27","","-2.3","","-8.0","","-5.2","","23.2","","0.0","","","","","","0.0","","","","32","","37",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-28","2021","01","28","","-6.7","","-12.2","","-9.5","","27.5","","0.0","","","","","","0.0","","","","28","","52",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-29","2021","01","29","","-6.2","","-12.1","","-9.2","","27.2","","0.0","","","","","","0.0","","","","33","","41",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-30","2021","01","30","","-2.6","","-10.2","","-6.4","","24.4","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-01-31","2021","01","31","","-2.8","","-8.1","","-5.5","","23.5","","0.0","","","","","","0.0","","","","6","","65",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-01","2021","02","01","","-2.1","","-9.3","","-5.7","","23.7","","0.0","","","","","","0.0","","","","4","","41",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-02","2021","02","02","","0.2","","-6.9","","-3.4","","21.4","","0.0","","","","","","0.0","","","","33","","55",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-03","2021","02","03","","1.6","","-5.7","","-2.1","","20.1","","0.0","","","","","","0.0","","","","33","","61",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-04","2021","02","04","","3.0","","-4.6","","-0.8","","18.8","","0.0","","","","","","0.8","","","","33","","37",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-05","2021","02","05","","3.2","","-6.1","","-1.5","","19.5","","0.0","","","","","","1.9","","","","24","","80",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-06","2021","02","06","","-4.6","","-7.4","","-6.0","","24.0","","0.0","","","","","","0.0","","","","24","","67",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-07","2021","02","07","","-5.3","","-11.2","","-8.3","","26.3","","0.0","","","","","","0.0","","","","27","","50",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-08","2021","02","08","","","M","","M","","M","","M","","M","","","","","0.0","","","","21","","42",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-09","2021","02","09","","","M","","M","","M","","M","","M","","","","","","M","","","29","","35",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-10","2021","02","10","","-4.3","","-10.0","","-7.2","","25.2","","0.0","","","","","","0.0","","","","28","","39",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-11","2021","02","11","","-2.3","","-9.2","","-5.8","","23.8","","0.0","","","","","","0.0","","","","36","","35",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-12","2021","02","12","","-7.4","","-12.9","","-10.2","","28.2","","0.0","","","","","","0.0","","","","6","","41",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-13","2021","02","13","","-8.3","","-11.1","","-9.7","","27.7","","0.0","","","","","","0.4","","","","6","","46",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-14","2021","02","14","","-4.1","","-11.0","","-7.6","","25.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-15","2021","02","15","","-2.7","","-7.9","","-5.3","","23.3","","0.0","","","","","","2.3","","","","2","","54",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-16","2021","02","16","","-6.0","","-11.4","","-8.7","","26.7","","0.0","","","","","","1.8","","","","4","","55",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-17","2021","02","17","","-3.3","","-12.7","","-8.0","","26.0","","0.0","","","","","","0.0","","","","22","","32",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-18","2021","02","18","","-2.6","","-5.2","","-3.9","","21.9","","0.0","","","","","","0.4","","","","5","","45",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-19","2021","02","19","","-2.0","","-5.2","","-3.6","","21.6","","0.0","","","","","","0.9","","","","5","","35",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-20","2021","02","20","","-1.1","","-5.8","","-3.5","","21.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-21","2021","02","21","","-0.2","","-8.0","","-4.1","","22.1","","0.0","","","","","","0.0","","","","21","","32",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2021-02-22","2021","02","22","","3.0","","-0.7","","1.2","","16.8","","0.0","","","","","","4.3","","","","27","","52",""
