"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-01","2020","01","01","","1.7","","-0.8","","0.5","","17.5","","0.0","","","","","","0.0","","","","26","","52",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-02","2020","01","02","","4.9","","1.6","","3.3","","14.7","","0.0","","","","","","0.0","","","","21","","41",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-03","2020","01","03","","7.2","","3.0","","5.1","","12.9","","0.0","","","","","","0.0","","","","27","","32",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-04","2020","01","04","","3.9","","0.3","","2.1","","15.9","","0.0","","","","","","1.4","","","","29","","41",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-05","2020","01","05","","1.7","","-0.9","","0.4","","17.6","","0.0","","","","","","2.3","","","","21","","41",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-06","2020","01","06","","3.0","","-0.7","","1.2","","16.8","","0.0","","","","","","0.0","","","","29","","74",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-07","2020","01","07","","3.8","","-3.5","","0.2","","17.8","","0.0","","","","","","0.0","","","","26","","41",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-08","2020","01","08","","0.8","","-7.5","","-3.4","","21.4","","0.0","","","","","","0.5","","","","29","","59",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-09","2020","01","09","","2.7","","-9.5","","-3.4","","21.4","","0.0","","","","","","0.0","","","","8","","42",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-10","2020","01","10","","6.0","","2.3","","4.2","","13.8","","0.0","","","","","","2.0","","","","22","","42",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-11","2020","01","11","","12.0","","2.0","","7.0","","11.0","","0.0","","","","","","60.4","","","","6","","52",""
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2020-01-12","2020","01","12","","2.1","","-5.1","","-1.5","","19.5","","0.0","","","","","","15.5","","","","31","","54",""
